timestamp,tweet_text,username,all_hashtags,followers_count
2021-11-22 10:48:40+00:00,"According to Michael Gunner, if you’ve had the #vaccine, but you’re against a #VaccineMandate to force people to take the vaccine, you’re an #antivaxxer.  #auspol #COVID19  https://t.co/xXcAnJE1Sl",b'Joel_Agius1',"['vaccine', 'VaccineMandate', 'antivaxxer', 'auspol', 'COVID19']",2036
2021-11-22 09:45:37+00:00,@IrishTimesCultr @IrishTimes Why? Been pissed is the only way to understand an #antivaxxer at this point in time   #Covid_19 #coronaprotest,b'bugeyeandme',"['antivaxxer', 'Covid_19', 'coronaprotest']",7
2021-11-22 09:33:41+00:00,"@theAliceRoberts ...... And if they get #Covid will the #antivaxxer be prepared to undergo treatment with some of the New Fangled Drugs designed to help make them better? 🤔 And if they recover, will they drink #alcohol to celebrate? 🤔",b'Noname1465',"['Covid', 'antivaxxer', 'alcohol']",147
2021-11-22 09:20:57+00:00,@Midday15326659 @lovinlife303 @bohemothbibby @jason71742260 @9NewsMelb Rob is a #keyboardwarrior 💪..... #antivaxxer #LNP,b'nick_komo',"['keyboardwarrior', 'antivaxxer', 'LNP']",135
2021-11-22 08:34:05+00:00,"@headquarters31 @GregHuntMP @CraigKellyMP @ScottMorrisonMP And we need transparency on #Cardiac injuries in #newborns. Is there is an increasing and worrying trend? @stkirsch is a respected entrepreneur and #truthseeker and not an #AntiVaxxer. He and his family have had the Moderna vax but trust of the #CDC, #FDA, #Fauci et al has waned. https://t.co/PNPuaycBAA",b'kenoconnor18',"['Cardiac', 'newborns', 'truthseeker', 'AntiVaxxer', 'CDC', 'FDA', 'Fauci']",591
2021-11-22 08:29:20+00:00,@ljdr48 @latestinspace Are you an #antivaxxer too!?,b'geuceyhophead',['antivaxxer'],125
2021-11-22 08:25:36+00:00,"When an FBPE timeline you follow is so full of anti-vaxx including all kinds of fake stats, I’m afraid the FBPE loses. #unfollowed #antivaxxer",b'likesretirement',"['unfollowed', 'antivaxxer']",5038
2021-11-22 08:24:03+00:00,"If someone calls you an #antivaxxer or regurgitates one of those ridiculous claims made by the #media about protecting others or otherwise being selfish  Stop communication  They're not able to use logic and are hypnotised  The world is waking, even if they can't  #Covid_19 https://t.co/zZoe0ljav5",b'LiuBaoBei1',"['antivaxxer', 'media', 'Covid_19']",632
2021-11-22 08:13:18+00:00,"How dare those purveyors of “pro-life” bollocks attempt to appropriate “my body, my choice” to support their #AntiVaxxer #covidiocy #auspol Yeah, I’m looking at YOU Matt Canavan!",b'davidlamond',"['AntiVaxxer', 'covidiocy', 'auspol']",1588
2021-11-22 08:10:33+00:00,Worlds gone #mad #antivaxxer https://t.co/CDWzctoRSe,b'ilesey',"['mad', 'antivaxxer']",266
2021-11-22 07:33:22+00:00,WTAF! If you believe this kind of #Covid19 #Antivaxxer disinformation crap.... Standby for...🙄🤬 #DarwinsProtocol https://t.co/wTJ1ZwQTbt https://t.co/qxZdUkb4j4,b'Firesnapper999',"['Covid19', 'Antivaxxer', 'DarwinsProtocol']",3061
2021-11-22 07:27:12+00:00,"No, you can’t cancel people because they’ve said something you don’t like (by calling you &amp; other #antivaxxer morons out).   Get a grip.  #auspol #GetVaccinated #Australia https://t.co/KdcXuVRL0y",b'koa7a_9',"['antivaxxer', 'auspol', 'GetVaccinated', 'Australia']",207
2021-11-22 07:20:43+00:00,"#CoronaCapital2021.  Have I had the #vaccine?  Does an #antivaxxer eventually #die as he boldly goes #maskless at @Walmart #Walmart?  Does a bear shit in the woods?  #Alexa, what say ye?  https://t.co/iBXTOjR4gY",b'BendOregonWin',"['CoronaCapital2021', 'vaccine', 'antivaxxer', 'die', 'maskless', 'Walmart', 'Alexa']",5
2021-11-22 05:00:09+00:00,@bohemothbibby @chucktortellini If you keep tweeting it might become true your manbaby facts #antivaxxer,b'nick_komo',['antivaxxer'],135
2021-11-22 04:26:59+00:00,Patriot Purge is another EXAMPLE OF REMOVING THE @GOP #GOP #GOPDeathCult #WhiteSupremacy #AntiVaxxer #MAGA #Trump WASTE OF LIFE!!! They are a CLEAR AND PRESENT DANGER TO THE UNITED STATES!,b'PaulBallz3',"['GOP', 'GOPDeathCult', 'WhiteSupremacy', 'AntiVaxxer', 'MAGA', 'Trump']",24
2021-11-22 04:11:27+00:00,"Because anything can happen at any #antivaxxer slumber party…in a restaurant, here’s Roy getting a tattoo because fuck it   #peterburgers #ptbo https://t.co/74qkesR0IX",b'EatsFood2',"['antivaxxer', 'peterburgers', 'ptbo']",276
2021-11-22 04:08:06+00:00,@Bespoke_Voices This guy is the face of bespoke voices?? #antivaxxer #ConspiracyTheories https://t.co/UHvAgdzr8O,b'roaming4winter',"['antivaxxer', 'ConspiracyTheories']",1
2021-11-22 03:57:16+00:00,"You can tell he’s running on adrenaline, after sleeping by the deep fryer for the last three nights, or maybe it’s grease.  Either way, he was pretty happy about the article in the @PtboExaminer about his #antivaxxer party  #ptbo https://t.co/Uh0NjaCMXQ",b'EatsFood2',"['antivaxxer', 'ptbo']",276
2021-11-22 03:51:28+00:00,55yr old #antivaxxer kills 79yr old #vaccinated Aunt.  Happy Holidays https://t.co/1oLl1RfcI2,b'robertburd21',"['antivaxxer', 'vaccinated']",207
2021-11-22 03:50:12+00:00,Not only are you an #antivaxxer #COVIDIOT you retweet utter shite. Happily reported several of your tweets and now happily blocking you. https://t.co/IzgzclNrXG,b'kaffando',"['antivaxxer', 'COVIDIOT']",2215
2021-11-22 03:39:02+00:00,"Looks like someone brought cake, which is essential at an #antivaxxer  slumber party.  Gotta cover the front door with garbage bags for extra warmth from the rainy Peterborough night.  #ptbo https://t.co/OfGyW8xMeG",b'EatsFood2',"['antivaxxer', 'ptbo']",276
2021-11-22 03:06:35+00:00,@IrrigationJims @JacquiLambie I'd expect five Australian senators to be #antivaxxer twits.  But I wouldn't expect them to be 'serving' in a mainstream party.  #Auspol,b'Neil1808',"['antivaxxer', 'Auspol']",1013
2021-11-22 01:36:05+00:00,For the record: Nobody associated with ⁦@campaignarf⁩ is making threats against anyone. It is the Nazis and deranged elements of the #antivaxxer movement. They are dangerous and criminal. https://t.co/gvMkcj3IFS,b'ethicalmartini',['antivaxxer'],5568
2021-11-21 23:45:37+00:00,‘Dangerous’: Coalition senator slammed for ‘anti-vax’ content funded by taxpayers | The New Daily https://t.co/arELBvizqt   “He’s not a scientist or a doctor bound by ethical principles of their professions; he’s a politician.”  #Antivaxxer #VoteThemOUT,b'JillJackz',"['Antivaxxer', 'VoteThemOUT']",1492
2021-11-21 23:30:30+00:00,"@nobby15 @SenatorRennick has not only been promoting and spreading #antivaxxer propaganda and misinformation at tax payer expense , he is demanding #ScottytheDogWhistler over rule the states #VaccineMandates ignoring the reason they were put in place , the PM was too gutless #auspol",b'ricklevy67',"['antivaxxer', 'ScottytheDogWhistler', 'VaccineMandates', 'auspol']",4504
2021-11-21 23:09:30+00:00,"@nofuschia @scomosas @davidbewart Apt name of my account  ""#AntiVaxxer are incompetent conspiracy theorists"" lol  https://t.co/wcQE3Br2Jr",b'BewareOz',['AntiVaxxer'],327
2021-11-21 22:30:58+00:00,"ICU is full of the unvaccinated – my patience with them is wearing thin | Anonymous https://t.co/C3nLbdBGgx Read it, #AntiVaxxer selfish bastards.",b'MGliksmanMDPhD',['AntiVaxxer'],32762
