timestamp,tweet_text,username,all_hashtags,followers_count
2021-10-22 08:03:41+00:00,Coronavirus Covid-19  Most Impacted Countries - Total Cases 10/21/2021  More insights: https://t.co/2y5Pnw07oL  #coronavirus #COVID19  #COVID2019 #COVID2020 #COVID19Pandemic #CoronaUpdate #CoronavirusOutbreak #Covid19usa #Covid_19 #corona #covid19us #covid19uk https://t.co/Pfci27a54a,b'_Covid19_World_',"['coronavirus', 'COVID19', 'COVID2019', 'COVID2020', 'COVID19Pandemic', 'CoronaUpdate', 'CoronavirusOutbreak', 'Covid19usa', 'Covid_19', 'corona', 'covid19us', 'covid19uk']",1084
2021-10-22 08:00:01+00:00,Stay updated with us and keep supporting.  Please like and share.  #manishaadubey #iflynfeast #China  #GetVaccinatedNow #StaySafe #COVID19 #Corona https://t.co/e0MOa6roZy,b'iflynfeast',"['manishaadubey', 'iflynfeast', 'China', 'GetVaccinatedNow', 'StaySafe', 'COVID19', 'Corona']",1523
2021-10-22 07:58:13+00:00,"@vpvikaspagare51 @AmhiDombivlikar @KDMCOfficial @DombivliNews #Corona #Dengue  have yet overcome  corona, attacked with dengue where @KDMCOfficial warning people  but is kdmc taking precautions?  by keeping gutter duct open on streets. Its ages open duct  near vaibhav mangal karyala thakurwadi dombivali west home for mosquitoes breeding.. https://t.co/ueQbjrRFmK",b'Satire777',"['Corona', 'Dengue']",1
2021-10-22 07:55:10+00:00,Easing restrictions should be centered on fully vaccinated people: PM https://t.co/BRZwUaorUG  #COVID19 #Corona #Coronavirus #CoronavirusUpdate,b'TheKoreaHerald',"['COVID19', 'Corona', 'Coronavirus', 'CoronavirusUpdate']",75745
2021-10-22 07:54:40+00:00,↙️some us haven't even bathed yet and it's already dead...aaah greedy b*stards😂😂😂🤧 #covid19 #covid_19 #coronavrius #coronvirus #coron #corona #moderna #johnsonandjohnson #pfizer #StayHome #Covid19inSA #vaccination💉💉💉💉💉💉💉 https://t.co/CmREIMyGKB,b'TeviiiC',"['covid19', 'covid_19', 'coronavrius', 'coronvirus', 'coron', 'corona', 'moderna', 'johnsonandjohnson', 'pfizer', 'StayHome', 'Covid19inSA', 'vaccination']",0
2021-10-22 07:54:21+00:00,"SAS Dismissed Employees Protest Outside Parliament, Airport  #International #Aviation #AviationNews #SAS #Corona #COVID19 @SAS @SAS_Press  https://t.co/BfQfeU4Ux8",b'BaaghiTV',"['International', 'Aviation', 'AviationNews', 'SAS', 'Corona', 'COVID19']",54622
2021-10-22 07:49:28+00:00,"#GIS Representation of #Covid_19 scenario for #India for 22 Oct 2021, prepared by @CSIR_NEERI India crosses 100 crore vaccination.   Total #Vaccination 1,00,59,04,580 (+61,27,277↑) #Active Cases in last 24 hrs - 15,555  @PMOIndia #VaccineCentury #COVID19nz #Corona #coronavirus https://t.co/ted76DaC3g",b'neeri_wwtd',"['GIS', 'Covid_19', 'India', 'Vaccination', 'Active', 'VaccineCentury', 'COVID19nz', 'Corona', 'coronavirus']",245
2021-10-22 07:48:58+00:00,https://t.co/pYhgsf9huu  @BitterWinterMag @MarcoRespinti  China tries to reshape what is left of globalization through a “Silk Road of Health”. Italy was a starting point. #Castex #EUCO #coronavirus #COVID19 #Corona @MDsAgainstFOH➡️https://t.co/wWLMJnPU2v➡️https://t.co/nGkaSxCd9T,b'LValie1',"['Castex', 'EUCO', 'coronavirus', 'COVID19', 'Corona']",50
2021-10-22 07:48:03+00:00,"Inmatec CEO Peter Biedenkopf will talk about the “Production of Adsorption-based Medical Oxygen Generators: Challenging the Supply Chain in the #Corona #Pandemic ” in Boston at the #AIChEAnnual Meeting, the premier educational forum for chemical engineers https://t.co/k6JF6FUvDQ https://t.co/cqzIMG09yE",b'inmatecgase',"['Corona', 'Pandemic', 'AIChEAnnual']",109
2021-10-22 07:47:34+00:00,Weekly 1000 cases per one million.Bavarian premier says Germany should keep COVID state of emergency  #Germany #Covid_19 #coronavirus #Corona https://t.co/A6hL6ji2MU,b'RiyazHanfi',"['Germany', 'Covid_19', 'coronavirus', 'Corona']",247
