timestamp,tweet_text,username,all_hashtags,followers_count
2021-10-21 13:33:28+00:00,i have a SECRET to share w @CaterinaDiFonzo we have to do a professional english essay but i don’t want too 😭😭😭😫 #saveme,b'TiniMaino',['saveme'],532
2021-10-21 12:43:27+00:00,Join us on the #BookTour  Save Me (Phoenix Book)  Steamy Romance  by @Stacey_Kennedy   #saveme #steamy #newadult #romance #bookreview #staceykennedy  Hosted by Social Butterfly PR  @jennw23   https://t.co/OU7HusG6JD https://t.co/AMJKE4Kdm9,b'Joyffree',"['BookTour', 'saveme', 'steamy', 'newadult', 'romance', 'bookreview', 'staceykennedy']",513
2021-10-21 08:28:59+00:00,#AdamFerello finally released his new single “Save Me” Follow Us on @iwmbuzz    #AdamFerello #Applemusic #California #SaveMe #Spotify  https://t.co/a2Wu2u7LC2,b'iwmbuzz',"['AdamFerello', 'AdamFerello', 'Applemusic', 'California', 'SaveMe', 'Spotify']",12196
2021-10-21 08:09:11+00:00,Thank you for letting me be me For helping me fly For giving me wings For straightening me out For waking me from being suffocated For waking me from a dream which was all I was living in  #SaveMe  #BTS,b'Jiju2415',"['SaveMe', 'BTS']",43
2021-10-21 07:41:05+00:00,"Bored out of my mind, watching Adam Hatten and Gary C at WDW from March 2020 cause this is all I got lol #bored #saveme",b'OfficialALentz',"['bored', 'saveme']",255
2021-10-21 06:19:19+00:00,#SeoYeaji &amp; #OkTaecyeon on the most energetic and hard scenes to film during #SaveMe   #서예지  #SeoYeJi #SaveMe https://t.co/zEf6afxWOR,b'seoyeajiloops',"['SeoYeaji', 'OkTaecyeon', 'SaveMe', '서예지', 'SeoYeJi', 'SaveMe']",570
2021-10-21 05:50:00+00:00,"When I am so busy and stressed at work that I am exhausted, but also stay up way too late bc as soon as I go sleep it means the workday starts again #viciouscycle #saveme #CPA",b'jamielin513',"['viciouscycle', 'saveme', 'CPA']",147
2021-10-21 04:00:06+00:00,https://t.co/wF82BAvgKR #A1158786 King #King #A1158786 #pitbull #pitbullrescue #saveme #fosterme #lastcall #euthlist #redlist #shelterdog #urgent #rescueme #fosteringsaveslives #dogs #shelterdogs #animalrescue #adoptme #adoptdontshop #rescue #rescuedog #savedogs https://t.co/TcAIaNFzTs,b'dogsmatter_',"['A1158786', 'King', 'A1158786', 'pitbull', 'pitbullrescue', 'saveme', 'fosterme', 'lastcall', 'euthlist', 'redlist', 'shelterdog', 'urgent', 'rescueme', 'fosteringsaveslives', 'dogs', 'shelterdogs', 'animalrescue', 'adoptme', 'adoptdontshop', 'rescue', 'rescuedog', 'savedogs']",2
2021-10-21 01:21:49+00:00,@putadogui #saveme Please,b'lvngerie',['saveme'],461
2021-10-21 01:13:31+00:00,https://t.co/LMuArExSxy #A581692 Woody #Woody #A581692 #labradordog #labradorrescue #labradorretriever #retrieverrescue #saveme #fosterme #lastcall #euthlist #redlist #shelterdog #urgent #rescueme #fosteringsaveslives #dogs #shelterdogs #animalrescue #adoptme #ad https://t.co/sF360rL275,b'dogsmatter_',"['A581692', 'Woody', 'A581692', 'labradordog', 'labradorrescue', 'labradorretriever', 'retrieverrescue', 'saveme', 'fosterme', 'lastcall', 'euthlist', 'redlist', 'shelterdog', 'urgent', 'rescueme', 'fosteringsaveslives', 'dogs', 'shelterdogs', 'animalrescue', 'adoptme', 'ad']",2
2021-10-21 00:40:00+00:00,"Out of sight, out of mind? Doubtful. 😑😂  #Spider #Scared #PestControl #SaveMe https://t.co/0HXGltcJGY",b'sppestcontrol',"['Spider', 'Scared', 'PestControl', 'SaveMe']",1
2021-10-20 23:28:41+00:00,Save me!! #mydaughter #saveme #holyspirtactivate #toddlerlife #parentlife #elpasotx #texas https://t.co/17CDs78k6J,b'queen_beetx',"['mydaughter', 'saveme', 'holyspirtactivate', 'toddlerlife', 'parentlife', 'elpasotx', 'texas']",386
2021-10-20 22:21:25+00:00,Can you see the difference in the left arm and right arm? Out to dinner with my wife and she took the photo.  ALS sucks and anyone or anything stopping us from being treated sucks even worse.  Anniversary 20 years and going.  Love the wife and kiddos.  #Saveme #Mybodymychoice https://t.co/n3WbSYUvmt,b'ThurmanTough',"['Saveme', 'Mybodymychoice']",444
2021-10-20 21:30:27+00:00,Son why do I roll a spliff the first thing home from work. #saveme,b'1sonofgrace',['saveme'],101
2021-10-20 20:38:44+00:00,im sangmi would definitely win squid game. #SeoYeaJi #ImSangmi #SaveMe,b'ssunmiyane',"['SeoYeaJi', 'ImSangmi', 'SaveMe']",132
2021-10-20 19:05:08+00:00,Had a beautiful sunrise this morning. Shame the day that followed was hell on earth. #TeachersLife #KMN #SaveMe https://t.co/Snxr5oQGsv,b'ATK1734',"['TeachersLife', 'KMN', 'SaveMe']",27
2021-10-20 18:55:56+00:00,"I love my job, but damn these kids drive me crazy lol #ItsHardOverHere #SaveMe #INeedHelp",b'krys619',"['ItsHardOverHere', 'SaveMe', 'INeedHelp']",38
2021-10-20 18:07:44+00:00,These people disgust me. What the hell? #saveme,b'Eniolaa_pb',['saveme'],377
