timestamp,tweet_text,username,all_hashtags,followers_count,favourites
2021-11-20 15:06:31+00:00,FINALLY got my first dose! On my way to protecting people 😉 #vaccination,b'Dxwells4',['vaccination'],98,0
2021-11-20 15:05:07+00:00,💉Keep on jabbing. @GovMLG will tell you when you've had enough.   https://t.co/LCpchK3PZK #nm #nmpol #nmleg #Covid_19 #vaccination,b'Brett4NM',"['nm', 'nmpol', 'nmleg', 'Covid_19', 'vaccination']",713,1
2021-11-20 15:02:34+00:00,"@CVaccinebot 🇳🇱 Vaccine rollout for the Netherlands 🇳🇱  🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩⬜⬜⬜⬜ 75,26% (estimate)  Number of doses administered: 24.382.465  #COVID19NL #covidanalytics #Vaccination https://t.co/DxVn32MVVy",b'covid_nl',"['COVID19NL', 'covidanalytics', 'Vaccination']",1469,0
2021-11-20 15:01:45+00:00,🌏 Global COVID-19 vaccine rollout  🟩🟩🟩🟩🟩🟩🟩⬜⬜⬜⬜⬜⬜⬜⬜ 53.14% (estimate)  Vaccine doses deployed: 7.66B The rollout seems to be speeding up  #COVID19 #EpiTwitter #Vaccination #PublicHealth https://t.co/x0lwcnmLBj,b'CVaccinebot',"['COVID19', 'EpiTwitter', 'Vaccination', 'PublicHealth']",673,0
2021-11-20 14:59:33+00:00,"#LargestVaccineDrive  Day 309:20-Nov,7PM India #vaccination update as per @MoHFW_INDIA   💉Total Doses: 116,42,50,214 🔼 60,25,558  💉Dose1:  76,41,06,155   🔼 17,86,132 💉Dose2: 40,01,44,059 🔼 42,39,426  Explore more at https://t.co/yUxs6SL8yv https://t.co/bNeENCCiby",b'outbreak_india',"['LargestVaccineDrive', 'vaccination']",984,0
2021-11-20 14:57:56+00:00,#Day1028 @SDGaction @SDGMediaZone largest  #vaccination drive #LeaveNoOneBehind kudos  @actgrants @ActionAidIndia @passion_rotary @iodglobal Foundation @nagrikfdn @sdgchoupal #LeaveNoOneBehind https://t.co/WeiUbIuPSs,b'DeepakDwivedi_',"['Day1028', 'vaccination', 'LeaveNoOneBehind', 'LeaveNoOneBehind']",1124,0
2021-11-20 14:55:56+00:00,which  @EUCouncil member state will follow the Austria leadership and impose obligatory #vaccination now? @eucopresident support @a_schallenberg and call each of them to join the rational way to defeat #COVID,b'GunterFehlinger',"['vaccination', 'COVID']",3581,0
2021-11-20 14:50:46+00:00,The #Covid_19 pandemic is a nightmare.   What is the right move specific to the #vaccination strategy?   I don’t know because there seems to be more politics and special interest influencing decisions than actual medical science. It’s more about $ and control than #PublicHealth https://t.co/87QPqHBsyF,b'Sir_Acumen',"['Covid_19', 'vaccination', 'PublicHealth']",64,1
2021-11-20 14:50:43+00:00,"Jo log oppose kr rhe h Vaccine ka, Australia 🇦🇺 me, America 🇺🇸 me, Netherlands 🇳🇱 me,   wo sb ek number k idiots h #vaccine #vaccination #Covid_19 https://t.co/hN9WIk4JnT",b'aishwarya1176',"['vaccine', 'vaccination', 'Covid_19']",86,0
2021-11-20 14:46:15+00:00,Heading to @NDSUfootball v @SDCoyotesFB game? Stop by to meet me &amp; my #NFL brothers today 11/20 from 9am-1pm for our FREE @NFLAlumniHealth #vaccination awareness event in FARGODOME's lobby. You could win an autographed #NFLAlumni football! #NFLAlumniHealth,b'BillyD3035',"['NFL', 'vaccination', 'NFLAlumni', 'NFLAlumniHealth']",503,0
2021-11-20 14:46:14+00:00,#InfectionPreventionWeek : Rama Khare is 12-year-old Sarthak Khare's mother who has got both doses of the Covid-19 vaccination.   Rama shared her experience with other families and urged everyone to get vaccinated as soon as possible.  #Share #vaccination https://t.co/Iu6aZfgcDH,b'StJudeChildCare',"['InfectionPreventionWeek', 'Share', 'vaccination']",744,0
2021-11-20 14:40:58+00:00,My #Vaccination Status #CoWIN #Vaccinated #GetVaccinated #LargestVaccineDrive #NarendraModi #India  https://t.co/wJjDgVw2iL,b'Utkarsh_2209',"['Vaccination', 'CoWIN', 'Vaccinated', 'GetVaccinated', 'LargestVaccineDrive', 'NarendraModi', 'India']",52,0
2021-11-20 14:39:18+00:00,My #Vaccination Status #CoWIN #LargestVaccineDrive #Vaccinated #GetVaccinated #NarendraModi #India  https://t.co/gixxg5H9J5,b'UtkarshV_BJP',"['Vaccination', 'CoWIN', 'LargestVaccineDrive', 'Vaccinated', 'GetVaccinated', 'NarendraModi', 'India']",281,0
2021-11-20 14:21:46+00:00,Nice graphs to illustrate the impact of #covid19 #vaccination in #Ontario. https://t.co/epeg9tJm5B,b'himmoderator',"['covid19', 'vaccination', 'Ontario']",4806,0
2021-11-20 14:18:50+00:00,GO #Australia take your freedom back. Get rid of your psycho gouvernement! 💪💪 It's beautiful to see this. #vaccination #Covid_19 #StopTheMadness #Stopthesepsychoglobalists #plandemie https://t.co/FLtUDNn0h2,b'khss_khss',"['Australia', 'vaccination', 'Covid_19', 'StopTheMadness', 'Stopthesepsychoglobalists', 'plandemie']",328,0
2021-11-20 14:18:25+00:00,@JamesMelville Why the hell is Bill gates so frequently stating on #vaccination,b'eijay69',['vaccination'],89,0
2021-11-20 14:06:57+00:00,A solution for the unvaccinated #Covid_19 #vaccination #CovidVaccine #unvcaccinated https://t.co/JFvXj4kvyx,b'realObonjo',"['Covid_19', 'vaccination', 'CovidVaccine', 'unvcaccinated']",3885,0
2021-11-20 14:04:22+00:00,"YES!!!! #Tennis stars reaping $$$ from sponsors and fans, be good citizens and role models, #vaccinate #AustralianOpen #VaccineMandate #vaccination https://t.co/iQu9yn7sBz",b'joliclown',"['Tennis', 'vaccinate', 'AustralianOpen', 'VaccineMandate', 'vaccination']",2573,0
2021-11-20 14:03:55+00:00,Thank you @paulkalleegrove &amp; @LpoolChina colleagues in joining us as part of our #Covid19 #Chinese reference group to help enhance our understanding &amp; support 4 Chinese community with increased awareness &amp; access to #vaccination. Look 4ward 2 collaborating with like-minded people https://t.co/zjWfXZbw7Y,b'AHamiedNHS',"['Covid19', 'Chinese', 'vaccination']",1139,1
2021-11-20 13:59:05+00:00,"Geert Vanden B  Historic interview for @HighWireTalk, host @delbigtree sits down with Vaccinologist, Geert Vanden Bossche, to hear the dire warning about mass #Covid #vaccination of #children, and the catastrophe which may follow.  https://t.co/zbviQLarO8 https://t.co/rFyBX2zGVJ https://t.co/t8TXhJ0q1d",b'SamMetc35688623',"['Covid', 'vaccination', 'children']",40,1
2021-11-20 13:55:14+00:00,https://t.co/rf3ZRxU5TL Covid holocaust that never was: Africans now carry masks ‘to protect my pocket’ against the police #coronavirus #Corona #coronadebat #Covid_19 #USA #USDT #vaccine #vaccination #RailaInTransnzoia #Londn #india #NBA #Africans #Africa #BlackLivesMatter #Dubai https://t.co/4HOMX2kdqP,b'TellNews52',"['coronavirus', 'Corona', 'coronadebat', 'Covid_19', 'USA', 'USDT', 'vaccine', 'vaccination', 'RailaInTransnzoia', 'Londn', 'india', 'NBA', 'Africans', 'Africa', 'BlackLivesMatter', 'Dubai']",255,0
2021-11-20 13:55:13+00:00,"schedule for #COVID19 #vaccination in Jammu District… for Nov 21, 21 https://t.co/QzH0E5aQyb",b'RJjuhie',"['COVID19', 'vaccination']",2368,0
2021-11-20 13:53:34+00:00,St Kitts and Nevis reports 2 new COVID-19 cases in last 24 hrs https://t.co/7DkUUFZPtm #covid19 #covid #pandemic #world #Caribbean #vaccine #vaccination #2021  @pmharriskn,b'TimesAssociates',"['covid19', 'covid', 'pandemic', 'world', 'Caribbean', 'vaccine', 'vaccination']",1221,0
2021-11-20 13:52:45+00:00,"""Mandatory #vaccination measures should be seen as a last resort, it would be very timely to have a legal &amp; societal debate about the issue. ... the Covid pass is not a restriction of liberty, rather it is a tool to keep our individual freedom."" @WHO https://t.co/njeJzX4HuC",b'E_Hunyadi',['vaccination'],6215,0
2021-11-20 13:52:10+00:00,Ok...my hungover take on #Anfang Fuck you man...First I am glad the club forced him to resign... if you are creepy about your vaccination... how can you be trusted to lead a team? #Anfang #Ende #vaccination #Werder    Btw that twat Kimmich should thank Anfang,b'KCBundesliga',"['Anfang', 'Anfang', 'Ende', 'vaccination', 'Werder']",679,7
2021-11-20 13:48:47+00:00,Standing just inside George street entrance to Bon Accord watching a very steady queue going through the vaccination centre. Waiting on husband. Looks busy but pretty slick. #Covid #vaccination #NHSG,b'Moomum64',"['Covid', 'vaccination', 'NHSG']",488,1
2021-11-20 13:45:24+00:00,"Trinidad and Tobago logs 491 new COVID-19 cases, 11 new deaths https://t.co/faVwXEgpKr #covid19 #covid #pandemic #world #Caribbean #vaccine #vaccination #2021  @DrKeithRowley",b'TimesAssociates',"['covid19', 'covid', 'pandemic', 'world', 'Caribbean', 'vaccine', 'vaccination']",1221,0
