timestamp,tweet_text,username,all_hashtags,followers_count,favourites
2021-11-05 09:30:04+00:00,"You can get your 1st, 2nd &amp; 3rd #Pfizer #Covid19 vaccinations and boosters today and over the weekend from 10am to 6pm at Cranford Community College (High St, #Hounslow, TW5 9PD).  For more #Covid_19 #vaccine information, please visit: https://t.co/mav7KQZGkX #covid19uk https://t.co/grrsMgJa6J",b'LBofHounslow',"['Pfizer', 'Covid19', 'Hounslow', 'Covid_19', 'vaccine', 'covid19uk']",15377,0
2021-11-05 09:30:00+00:00,"An image has been shared repeatedly in social media posts around the world that purports to show a poster from an Irish health agency listing ""vaccine side effects"" that include ""sudden death"". The image is a hoax. #FakeNews #vaccine #COVID19 #Ireland  https://t.co/vDSTl2U6hW",b'boomlive_in',"['FakeNews', 'vaccine', 'COVID19', 'Ireland']",74361,0
2021-11-05 09:28:39+00:00,We are currently hearing a lot of horror news that the deadly Corona pandemic is raging.  A look at the hospital bed occupancy shows us that the lowest proportion are Covid patients. #covid #corona #satanic #beast #666 #hoax #Coronavirus #COVID19 #vaccine #pfizer #Covaxin https://t.co/W179sk2Dgz,b'ProfDrX2',"['covid', 'corona', 'satanic', 'beast', 'hoax', 'Coronavirus', 'COVID19', 'vaccine', 'pfizer', 'Covaxin']",7,0
2021-11-05 09:28:30+00:00,#VACC #VACCineToken #VACCine #HealthToken https://t.co/xZjy2AO29k). This project has a bright and amazing future. It has potential to develop and it will be very popular among students of educational institutions.,b'LatifMovar',"['VACC', 'VACCineToken', 'VACCine', 'HealthToken']",4889,0
2021-11-05 09:26:24+00:00,Get Free Meditation Ever🧘https://t.co/oCsO0qeCWs #meditationmusic #sleepmeditation #guidedmeditation #peace #morningmeditation #meditate #selfdevelopment  #vaccine #god #motivation #meditating #quotes #healthcare #PositiveVibes  #Mindset #innerpeace #freedom #body #life #calm https://t.co/h5n2JRvcXO,b'BatPhobia9',"['meditationmusic', 'sleepmeditation', 'guidedmeditation', 'peace', 'morningmeditation', 'meditate', 'selfdevelopment', 'vaccine', 'god', 'motivation', 'meditating', 'quotes', 'healthcare', 'PositiveVibes', 'Mindset', 'innerpeace', 'freedom', 'body', 'life', 'calm']",104,0
2021-11-05 09:26:22+00:00,D Day Is Coming! https://t.co/18XVR2ELTR #America #Democrats #DontComply #FireFighters #FJBiden #Food #Freedom #GasPrices #HomeSchool #IWillNotComply #Jab #LawEnforcement #LetsGoBrandon #Liberty #Mandates #MyBodyMyChoice #Pandemic #SaveAmerica #2A #Tyranny #Unvaccinated #Vaccine https://t.co/PFQYYewC0H,b'OurPatriot2020',"['America', 'Democrats', 'DontComply', 'FireFighters', 'FJBiden', 'Food', 'Freedom', 'GasPrices', 'HomeSchool', 'IWillNotComply', 'Jab', 'LawEnforcement', 'LetsGoBrandon', 'Liberty', 'Mandates', 'MyBodyMyChoice', 'Pandemic', 'SaveAmerica', '2A', 'Tyranny', 'Unvaccinated', 'Vaccine']",1284,1
2021-11-05 09:24:02+00:00,"👃A phase 1 trial is conducted on applying the Oxford/AstraZeneca #vaccine as a nasal spray. The nasal spray was administered to 30 unvaccinated people and will be given to 12 fully vaccinated people as a booster, to test its safety and functionality. https://t.co/a9kNQEMYyn",b'LifeScienceAPPG',['vaccine'],471,0
2021-11-05 09:23:23+00:00,"#VACC #VACCineToken #VACCine #Health Wow, Don't miss this project guys. This project will be able to give profit to their investors. I like this project very much.",b'MDSojib68',"['VACC', 'VACCineToken', 'VACCine', 'Health']",6332,1
2021-11-05 09:22:22+00:00,"Giving a #shot in the arm to the #vaccination drive -- quite literally, a 125-year-old seer, Swami Shivananda took his second #dose of the #vaccine.  https://t.co/xMpwcYRsHB",b'YTHISNEWS',"['shot', 'vaccination', 'dose', 'vaccine']",256,0
2021-11-05 09:18:50+00:00,Thank you @Saffron_Policy for your clear and sensible words on @SkyNews this morning re COVID jabs and mask wearing #COVID19 #Masks #Vaccine #Jabs,b'FranchiLiza',"['COVID19', 'Masks', 'Vaccine', 'Jabs']",867,0
2021-11-05 09:18:47+00:00,#VACC #VACCineToken #VACCine #HealthToken https://t.co/7pZkj6Hntf Very good and promising project well done you will achieve your goal which you have planned good luck to you developers.,b'megla9556',"['VACC', 'VACCineToken', 'VACCine', 'HealthToken']",2891,1
2021-11-05 09:18:42+00:00,"Special program to vaccinate the homeless, launched  Details: https://t.co/VCPUAppz2U  #lka #SriLanka #SLnews #News1st #Homeless #Vaccine #Vaccination",b'NewsfirstSL',"['lka', 'SriLanka', 'SLnews', 'News1st', 'Homeless', 'Vaccine', 'Vaccination']",337019,5
2021-11-05 09:18:29+00:00,#VACC #VACCineToken #VACCine #HealthToken https://t.co/2IagtOQRmN This is really very cool and strong project with great facilities. I hope this project will achieve more success. We will be happy to see the achievements and results of this excellent project.,b'CryptosGems',"['VACC', 'VACCineToken', 'VACCine', 'HealthToken']",3879,1
2021-11-05 09:18:26+00:00,Excellent news from @Vaccitechplc #MERS #vaccine #coronavirus #lifesciences #OxSciences https://t.co/lKmUtBpmvv,b'OxSciences',"['MERS', 'vaccine', 'coronavirus', 'lifesciences', 'OxSciences']",2495,0
2021-11-05 09:16:47+00:00,@vasaltlakecity Are you really going to turn away #vets of the #VetsResist the #vaccine ? They fought for your freedom.,b'thebidenbin',"['vets', 'VetsResist', 'vaccine']",711,0
2021-11-05 09:14:29+00:00,Great news #HPV #vaccine https://t.co/ER4ogKUqy7,b'PCamhs',"['HPV', 'vaccine']",3587,1
2021-11-05 09:12:14+00:00,@UnityakaAontu Great points. Pro #vaccine but #NoVaccinePassports,b'Aine_o_Eire',"['vaccine', 'NoVaccinePassports']",779,0
2021-11-05 09:12:02+00:00,"The chances are I won’t be streaming today… arrived for the covid shot, and also got the flu one. 2 shots, 1 girl - and I have a terrible immune system.   Should be back Sunday for some more Genshin #TwitchStreamers #twitch #COVID19 #FluVaccine #vaccine #gamer #genshin https://t.co/WImN8ERLkQ",b'lilo_n_switch',"['TwitchStreamers', 'twitch', 'COVID19', 'FluVaccine', 'vaccine', 'gamer', 'genshin']",278,2
2021-11-05 09:11:38+00:00,Anything except what works.  #MAGAts #vaccinations #vaccine #COVID19 #COVIDIOTS https://t.co/DpMqlqykoW,b'EmperorNorton',"['MAGAts', 'vaccinations', 'vaccine', 'COVID19', 'COVIDIOTS']",5125,1
2021-11-05 09:11:17+00:00,@DEASUN6 This hit on so many points regaining pro / anti #vaccine,b'Aine_o_Eire',['vaccine'],779,0
2021-11-05 09:10:03+00:00,"No doubt, #vaccination reduces severe #covid19 disease in individuals at risk, but otherwise ....? ""Among young adults (age &lt; 65), the protections offered between #naturalimmunity and #vaccine- induced #immunity were similar; read  study here https://t.co/2Ku7BMa11J #coronavirus https://t.co/u4JyAVF5vX",b'Thomas_Wilckens',"['vaccination', 'covid19', 'naturalimmunity', 'vaccine', 'immunity', 'coronavirus']",5036,1
2021-11-05 09:06:29+00:00,"#LargestVaccineDrive   #Vaccine for all, Vaccine for free    #Unite2FightCorona  #We4Vaccine #StaySafe https://t.co/zJyzys8Hxs",b'PRO_Vizag',"['LargestVaccineDrive', 'Vaccine', 'Unite2FightCorona', 'We4Vaccine', 'StaySafe']",10835,1
2021-11-05 09:05:59+00:00,"3rd dose: check  This was Pfizer despite the previous ones were AstraZeneca. It doesn’t matter. 😊 #vaccine @ Tallinn, Estonia https://t.co/vjMCIcZUAI",b'tonibordallo',['vaccine'],248,0
2021-11-05 09:05:02+00:00,"#Vaccine effectiveness against #SARS-CoV-2 transmission to household contacts during dominance of #Delta variant (B.1.617.2), the Netherlands, August to September 2021: https://t.co/F9bV6cAVcn  #COVID19 #CoronavirusDisease #SARSCoV2 #VaccineEffectiveness #HouseholdContacts",b'Eurosurveillanc',"['Vaccine', 'SARS', 'Delta', 'COVID19', 'CoronavirusDisease', 'SARSCoV2', 'VaccineEffectiveness', 'HouseholdContacts']",16617,0
2021-11-05 09:03:56+00:00,"💉breaking down the #vaccine timeline for your kids   🏘️ gas prices are on the rise, we'll share some cost saving tips   Join us this AM #YourMorning @SPECNews1BUF",b'BreannaFuss',"['vaccine', 'YourMorning']",2895,1
2021-11-05 09:00:34+00:00,#trump #repmtg #CatalinaLauf #kimKBaltimore #seanhannity #TuckerCarlson #TedCruz #Covid #Vaccine #virus #Mandate  What a great comedian.  Cancel culture would go ape shit seeing George perform.  I am sure that George would have a few choice words for them. https://t.co/PSVhMB42HF,b'AsianTigersJp',"['trump', 'repmtg', 'CatalinaLauf', 'kimKBaltimore', 'seanhannity', 'TuckerCarlson', 'TedCruz', 'Covid', 'Vaccine', 'virus', 'Mandate']",79,1
2021-11-05 09:00:02+00:00,Are covid-19  vaccines safe for men with Prostate Cancer? #prostatecancer #vaccine #COVID19 #safe  https://t.co/mx0YT0KNdK,b'BeCancerSafe_RB',"['prostatecancer', 'vaccine', 'COVID19', 'safe']",779,0
2021-11-05 08:59:48+00:00,"Increasing social #trust to rebuild #HPV #vaccine confidence, #Japan: How an official decision led to hesitancy &amp; why stakeholder cooperation will be key https://t.co/x0SVnNGT93 #TheCI https://t.co/pDxEcXvDpV",b'warrencomminit',"['trust', 'HPV', 'vaccine', 'Japan', 'TheCI']",3488,0
2021-11-05 08:58:39+00:00,Very nice work by @drpharrington and @dr_de_Lavallade and very reassuring for post transplant patients #COVID19 #vaccine #stem_cell_transplantation https://t.co/BcISp1jPUz,b'KordastiL',"['COVID19', 'vaccine', 'stem_cell_transplantation']",168,1
